ps_partkey,ps_suppkey,ps_availqty,ps_supplycost,ps_comment
11,262,4729,894.90,ters wake. sometimes bold packages cajole sometimes blithely final instructions. carefully ironic foxes after the furiously unusual foxes cajole carefully acr
11,512,3708,818.74,"inal accounts nag quickly slyly special frays; bold, final theodolites play slyly after the furiously pending packages. f"
11,762,3213,471.98,"nusual, regular requests use carefully. slyly final packages haggle quickly. slyly express packages impress blithely across the blithely regular ideas. regular depe"
12,13,3610,659.73,jole bold theodolites. final packages haggle! carefully regular deposits play furiously among the special ideas. quickly ironic packages detect quickly carefully final
12,263,7606,332.81,luffily regular courts engage carefully special realms. regular accounts across the blithely special pinto beans use carefully at the silent request
12,513,824,337.06,"es are unusual deposits. fluffily even deposits across the blithely final theodolites doubt across the unusual accounts. regular, "
12,763,5454,901.70,s across the carefully regular courts haggle fluffily among the even theodolites. blithely final platelets x-ray even ideas. fluffily express pinto beans sleep slyly. carefully even a
13,14,612,169.44,s. furiously even asymptotes use slyly blithely express foxes. pending courts integrate blithely among the ironic requests! blithely pending deposits integrate slyly furiously final packa
13,264,7268,862.70,s sleep slyly packages. final theodolites to the express packages haggle quic
13,514,864,38.64,"s after the slyly pending instructions haggle even, express requests. permanently regular pinto beans are. slyly pending req"
13,764,9736,327.18,tect after the express instructions. furiously silent ideas sleep blithely special ideas. attainments sleep furiously. carefully bold requests ab
14,15,5278,650.07,"e quickly among the furiously ironic accounts. special, final sheaves against the"
14,265,5334,889.50,ss dependencies are furiously silent excuses. blithely ironic pinto beans affix quickly according to the slyly ironic asymptotes. final packag
14,515,3676,893.39,sits are according to the fluffily silent asymptotes. final ideas are slyly above the regular instructions. furiousl
14,765,4947,310.13, final deposits boost slyly regular packages; carefully pending theodolites 
15,16,7047,835.70,blithely quick requests sleep carefully fluffily regular pinto beans. ironic pinto beans around the slyly regular foxe
15,266,3336,784.55,slyly. fluffily bold accounts cajole furiously. furiously regular dependencies wak
15,516,3316,265.89,e express instructions. ironic requests haggle fluffily along the carefully even packages. furiously final acco
15,766,5255,458.67,refully bold instructions among the silent grouches must boost against the express deposits:
16,17,5282,709.16,lithely ironic theodolites should have to are furiously-- 
16,267,9412,887.53,ly special accounts wake. fluffily bold ideas believe blith
16,517,854,781.91, unusual excuses. requests after the carefully regular pinto 
16,767,1491,918.51,unts cajole furiously across the fluffily pending instructions. slyly special accounts could have to boost b
17,18,8555,995.35,are furiously final accounts. carefully unusual accounts snooze across the requests. carefully special dolphins
17,268,7737,648.75,e blithely express accounts. foxes kindle slyly unusual dinos. quickly special f
17,518,3123,555.04,ly bold accounts. regular packages use silently. quickly unusual sentiments around the quickly ironic theodolites haggle furiously pending requests. care
17,768,3203,64.40,bold packages nag fluffily after the regular accounts. furiously ironic asymptotes sleep quickly enticing pinto beans. carefully pending accounts use about the 
18,19,1125,664.17,". ironic, regular accounts across the furiously express "
18,269,8132,52.44, final packages wake quickly across the blithely ironic instructions. regular pains integrate slyly across the deposits. carefully regular pinto beans among the close
18,519,3133,568.61,riously bold accounts. packages boost daringly. blithely regular requests cajole. regular foxes wake carefully final accounts. blithely unusual excuses det
18,769,6475,386.29,. furiously regular accounts cajole slyly across the pending
19,20,1416,144.80,"o beans. even packages nag boldly according to the bold, special deposits. ironic packages after the pinto beans nag above the quickly ironic requests. bl"
19,270,5467,405.70,nstructions use furiously. fluffily regular excuses wake. slyly special grouches are carefully regular Tiresias. regular requests use about the quickly furio
19,520,8800,635.66,"sual requests sleep carefully. deposits cajole carefully over the regular, regular requests. quickly unusual asymptotes use some"
19,770,1340,346.92," requests. final, pending realms use carefully; slyly dogged foxes impress fluffily above the blithely regular deposits. ironic, regular courts wake carefully. bold requests impress"
20,21,2927,675.54,"s, ironic deposits haggle across the quickly bold asymptotes. express, ironic pinto beans wake carefully enticingly special foxes. requests are at the c"
20,271,2723,305.84,"nal, bold frets cajole slyly regular, unusual platelets. slyly permanent deposits wake carefully carefully silent accounts. even, even requests wake quickly. furiously pending packages are"
20,521,5905,546.66,ing deposits use furiously. ironically final pinto bea
20,771,4271,115.89,xcuses wake at the deposits. regular pinto beans nag slyly fluffi
21,22,6571,944.44,ing instructions impress bold foxes. ironic pinto beans use. thinly even asymptotes cajole ironic packages. quickly ironic pinto beans detect slyly regular deposits. ruthlessly even deposits are. sl
21,272,1704,139.05,"posits cajole; quickly even requests sleep furiously. ironic theodolites sleep pending, express instructions. stealthily even platelets cajole carefully after the final, ironic p"
21,522,7153,664.50,blithely enticing instructions use alongside of the carefully thin deposits. blithely bold requests are fluffily
21,772,367,584.86,"ong the even theodolites. pending, pending accounts sleep-- courts boost quickly at the accounts. quickly fin"
22,23,4410,786.18,"even accounts. final excuses try to sleep regular, even packages. carefully express dolphins cajole; furiously special pinto bea"
22,273,9779,635.84,l instructions cajole across the blithely special deposits. blithely pending accounts use thinly slyly final requests. instructions haggle. pinto beans sleep along the slyly pen
55,306,8460,236.27,"round the special, bold asymptotes cajole alongside of the instructions. qui"
22,523,7834,359.16,sits wake fluffily carefully stealthy accounts. furiously ironic requests x-ray fluffily alongside of the pending asymptotes. slyly silent packages use along the instructions. fu
22,773,1434,597.21,"ix across the blithely express packages. carefully regular pinto beans boost across the special, pending d"
23,24,2739,460.12,"platelets against the furiously bold Tiresias dazzle quickly into the special, bold courts. silent, regular instructions wake blithely ironic multipliers. ideas"
23,274,5739,103.13, theodolites need to nag blithely final notornis. slyly idle packages cajole after the furiously stealthy packages. slyly regular accounts use furiously. carefully final accounts affix 
23,524,9898,233.94,"l, express packages wake permanently. quickly even deposits sleep quickly slyly silent id"
23,774,7035,51.75,xcuses; decoys wake after the pending packages. final instructions are furi
24,25,5180,905.41,heodolites above the ironic requests poach fluffily carefully unusual pinto beans. even packages acc
24,275,2227,511.20,", silent packages boost around the instructions. special requests sleep slyly against the slyly regular deposits. final, final accounts haggle fluffily among the final requests. regular "
24,525,7182,582.03," the final, ironic asymptotes. regular requests nag instead of the carefully unusual asymptotes. furiously pending attainments among the slyly final packages boost after th"
24,775,5318,62.15, careful requests cajole blithely realms. special asymptotes sleep. pinto beans sleep carefully furiously ironic packages. furiously 
25,26,9029,832.74,fully fluffily regular frets. sometimes even requests after the requests wake slyly at the quickly ruthless requests. a
25,276,9062,928.96,"he foxes. final, final accounts sleep. boldly ironic excuses thrash quick"
25,526,9946,694.35,"ld, ironic requests. furiously special packages cajole furiously enticing instructions."
25,776,7340,746.59,dly final packages haggle blithely according to the pending packages. slyly regula
26,27,5020,683.96,es. fluffily express deposits kindle slyly accounts. slyly ironic requests wake blithely bold ideas
26,277,6577,892.20,riously pending pinto beans. furiously express instructions detect slyly according to the b
26,527,3499,382.11,imes even pinto beans among the busily ironic accounts doubt blithely quickly final courts. furiously fluffy packages despite the carefully even plate
26,777,9702,821.89, behind the blithely regular courts impress after the silent sheaves. bravely final ideas haggle 
27,28,2111,444.01,"the even, ironic deposits. theodolites along the ironic, final dolphins cajole slyly quickly bold asymptotes. furiously regular theodolites integrate furiously furiously bold requests. carefully"
27,278,9080,157.03,"ole express, final requests. carefully regular packages lose about the regular pinto beans. blithely re"
27,528,3407,151.34,"ironic theodolites are by the furiously bold ideas. ironic requests shall have to sublate final packages. furiously quick foxes alongside of the express, special deposits was boldly according "
27,778,4283,348.61,ound the final foxes detect furiously across the even warhorses. quickly t
28,29,6643,204.86,y ironic deposits above the slyly final deposits sleep furiously above the final deposits. quickly even i
28,279,2452,744.57,ully regular theodolites haggle about the blithely pending packages. carefully ironic sentiments use quickly around the blithely silent requests. slyly ironic frays bo
28,529,302,690.30,uickly unusual requests alongside of the final courts integrate slyly 
28,779,9988,666.53,beans haggle carefully around the slyly ironic acco
29,30,3506,799.27,leep fluffily according to the quietly regular requests: accounts integrate carefully bold foxes. carefully silent
29,280,8106,981.33,"the ironic, bold asymptotes! blithely regular packages hang furiously above the dependencies. blithely permanent dependencies are furiously furiously ironic acco"
29,530,9193,734.44,ly unusual packages. foxes cajole. theodolites nag
29,780,6252,186.21,"thely carefully even packages. even, final packages cajole after the quickly bold accounts. fluffily quick accounts in place of the theodolites doze slyly f"
30,31,4767,989.05,ts. slyly final pinto beans cajole ironic accounts. blithely final accounts use among the request
30,281,535,743.26,sual instructions wake carefully blithely even hockey playe
30,531,7756,568.86, special foxes across the dependencies cajole quickly against the slyly express packages! furiously unusual pinto beans boost blithely ironic Tir
30,781,7945,583.84," sleep. bold, regular deposits hang doggedly furiously bold requests. slyly bold excuses detect busily above the even gifts. blithely express courts are carefully. blithely final packages until th"
31,32,9685,620.84,he blithely regular ideas. blithely unusual requests haggle fluffily. platelets
31,282,1951,120.99,refully regular pinto beans. ironic requests integrate furiously since the quickly ruthless platelets. quickly ironic attainments ha
31,532,1402,761.64,"r platelets nag blithely regular deposits. ironic, bold requests "
31,782,137,849.11,"blithely ironic accounts. slyly ironic asymptotes sleep ironic, even accounts. regular accounts thrash quickly"
32,33,2203,406.03,es? slyly enticing dugouts haggle carefully. regular packages alongside of the asymptotes are carefull
32,283,467,109.34,ainst the unusual braids nod fluffily packages. regular packages nod among the slyly express
32,533,7975,747.14,final foxes boost furiously pending packages. quickly regular depths promise blithely accoun
32,783,7938,856.09,s integrate according to the even dependencies. carefully regular reque
33,34,4028,891.46,", pending requests affix slyly. slyly ironic deposits wake accounts. express accounts sleep slowly. ironic, express accounts run carefully fluffily final dependencies. furiously unusual ideas"
33,284,4410,929.05, packages sleep carefully. slyly final instructions boost. slyly even requests among the carefully pending platelets wake along the final accounts. quickly expre
33,534,1287,310.76,dolites above the slyly express deposits try to haggle blithely special gifts. blithely ironic reque
33,784,6006,327.19,ly. ironic dependencies haggle carefully silent instructions. furiously ironic dolphins are fluffily furiously even theo
34,35,9934,848.75,ven instructions besides the gifts are furiously among the slyly regular packages! instructions use carefully. even requests sleep quickl
34,285,4749,265.31,ckly regular theodolites eat above the bravely regular courts. ironic requests wake slyly.
34,535,5459,824.69,"ong the slyly silent requests. express, even requests haggle slyly"
34,785,5884,609.69,"ully final tithes. slyly ironic deposits hang furiously about the regular, regular deposits"
35,36,2500,451.58,nic packages boost carefully carefully even theodolites. blithely fina
35,286,8875,537.72,"ully regular deposits: special accounts use. slyly final deposits wake slyly unusual, special ideas. asymptotes "
35,536,596,669.19,"slyly against the daring, pending accounts. fluffily special pinto beans integrate slyly after the carefully unusual packages. slyly bold accounts besides"
35,786,2025,411.17,s cajole fluffily final deposits. furiously express packages after the blithely special realms boost evenly even requests. slow requests use above the unusual accoun
36,37,3907,630.91,al deposits detect fluffily fluffily unusual sauternes. carefully regular requests against the car
36,287,174,434.47,permanently express instructions. unusual accounts nag toward the accou
36,537,2625,569.91,ctions. pending requests are fluffily across the furiously regular notornis. unusu
36,787,8209,289.15,"arefully regular requests cajole. special, express foxes sleep slowly. quickly unusual in"
37,38,7171,824.96,usly into the slyly final requests. ironic accounts are furiously furiously ironic i
37,288,5542,126.59,ven deposits. ironic foxes cajole. slyly final deposits are furiously after the furiously even packages. slyly ironic platelets toward the slyl
37,538,7113,15.72,re bravely along the furiously express requests. blithely special asymptotes are quickly. fluffily regular packages alo
37,788,1449,745.64,y after the ironic accounts. blithely final instructions affix blithely. bold packages sleep carefully regular instructions. regular packages affix carefully. stealthy fo
38,39,1226,570.11, slyly even pinto beans. blithely special requests nag slyly about the ironic packages. 
38,289,4237,662.75,"lar warhorses cajole evenly against the attainments. requests cajole furiously furiously express requests. carefully regular platelets use fluffily after the silent, unusual ideas: bl"
38,539,1135,160.70,express accounts haggle. carefully even pinto beans according to the slyly final foxes nag slyly about the enticingly express dol
38,789,3516,847.09,nal accounts. furiously pending hockey players solve slyly after the furiously final dependencies. deposits are blithely. carefully regular packages unwind busily at the deposits. fluffily 
39,40,3633,463.10,"kages are slyly above the slyly pending pinto beans. bold, ironic pinto beans sleep against the blithely regular requests. fluffily even pinto beans use. regular theodolites haggle against the quic"
39,290,3682,300.43,"ng requests are according to the packages. regular packages boost quickly. express Tiresias sleep silently across the even, regular ideas! blithely iro"
39,540,5475,532.26, beans cajole carefully carefully express requests. instructions sleep furiously bold deposits. furiously regular depos
39,790,6259,737.86,"y. special, even asymptotes cajole carefully ironic accounts. regular, final pinto beans cajole quickly. regular requests use warhorses. special, special accounts hinder boldly across the"
40,41,7690,776.13,lets use fluffily carefully final deposits. blithely ironic instructions sublate against the furiously final ideas; slyly bold courts x-ray silent foxes. regular foxes wake blithely. slyl
40,291,1704,565.82,riously furiously silent asymptotes. final deposits cajole blithely ironic requests. furiously special pains into the blithely final instru
40,541,4521,374.71,ptotes haggle. slyly even requests nag fluffily silent packages. blith
40,791,6617,196.64,he slyly unusual epitaphs? ironic deposits at the furiously unusual instructions thrash blithely requests. requests are carefully blithely pending waters.
41,42,9040,488.55,"ss the dinos wake along the blithely regular theodolites. foxes cajole quickly ironic, final foxes. blithely ironic packages haggle against "
41,292,5946,391.81, slyly slyly regular requests. final deposits sleep fluffily. blithely bold instructions detect carefully. blithely pending requests are furiously ironically final ideas. regul
41,542,1550,916.55, the blithely final ideas. furiously regular asymptotes could cajole furious
41,792,560,37.59,"special pinto beans against the unusual accounts cajole slyly final foxes. close, ironic"
42,43,2893,716.81,requests nag. furiously brave packages boost at the furiously even waters. slyly pending ideas nag carefully caref
42,293,2927,709.06,g dugouts. carefully careful ideas are fluffily. carefully final pinto beans snooze. ironic deposits wake evenly along 
42,543,3500,200.00,"against the ironic, ironic forges. slyly final deposits wake blithely. ironic courts sleep furiously ab"
42,793,3662,29.46,"es sleep slyly among the slyly final requests. bold theodolites use silently against the final foxes. carefully pending requests use furiously. dogged, unusual asymptotes use "
43,44,3211,805.78,gular accounts. bold theodolites nag slyly. quickly express excuses use blithely. blithely even ideas boost fluffily! blithely unusual ideas detect bli
43,294,6770,493.19,ing to the quickly even theodolites. quickly bold excuses haggle. sometimes unusua
43,544,9506,493.65,riously! slyly ironic sauternes affix. ironic theodolites sleep furiously about the express packages. slyly ironic deposits are blithely against the regular package
43,794,3232,307.12,"counts: express, final platelets use slyly bold ideas. ironic theodolites about the blithely s"
44,45,486,164.22, final notornis throughout the unusual pinto beans are about the special accounts. bold packages sleep fluffily above the
44,295,5310,114.37,quests. quickly unusual requests against the carefully final somas detect slyly bold a
77,78,552,254.92,e after the carefully pending packages. carefully even dependencies cajole pending 
44,545,3534,383.01,"r the pending pinto beans! requests wake furiously after the special deposits. silent deposits mold quickly along the express, special "
44,795,4798,833.15," run. ironic, special dolphins according to the even, ironic deposits haggle carefully alongside of the carefully regular excuses. regular frays haggle carefully ironic dependenc"
45,46,1685,919.63,he doggedly final accounts; carefully regular packages cajole idly regular idea
45,296,5202,877.29,ngage blithely after the final requests. bold accounts sleep blithely blithely express dependencies. pinto beans through the carefully regular hockey players wake
45,546,5669,532.70,es play carefully doggedly unusual requests. bold grouches against the furiously ironic dugouts sleep furiously qu
45,796,1872,155.32," ironic, even pinto beans. bold theodolites haggle after the furiously ironic accounts. slyly bold courts"
46,47,4171,244.65,lly quiet instructions. furiously express requests among the final ideas cajole carefully bold waters. furiously regular pac
46,297,8518,106.80,"e unusual instructions shall have to detect slyly blithely ironic foxes. bold requests impress silent foxes. ironic, quiet realms haggle quickly pending, express pinto be"
46,547,7225,14.78,ously about the fluffily pending accounts. fluffily even dugouts are quickly slyly express platelets; quickly bold pearls sleep slyly even instructions. furiously ironic packages poach quic
46,797,1381,985.88,"ending platelets are carefully regular accounts. fluffily even accounts against the dependencies nag carefully final, "
47,48,6989,292.52,"even ideas. blithely final requests boost blithely. final, ironic instruct"
47,298,4458,539.47,"; finally enticing theodolites cajole enticing, silent warhorses! slyly bold pains c"
47,548,2896,74.54,grate final asymptotes. pending requests kindle carefully final frets. ironic deposits above the slyly e
47,798,5873,296.63,"after the regular dependencies. final, bold pains sleep quickly pend"
48,49,5052,611.16,posits are blithely blithely final foxes. blithely even deposits haggle fluffily express requests. furiously final theodolites use sl
48,299,9451,191.36,"ckages cajole never even, special foxes. regular dependencies wake after the blithely ironic instructions. thinly ironic reque"
48,549,5564,668.19,al pinto beans. furiously final frays use slyly according to the ironic theodolites. regular ideas cajole furiously after the slyly even deposits. 
48,799,1719,606.16,"forges lose. packages cajole regular, bold accounts. never ironic accounts may promise about the permanently bold deposits. always express requests cajole fluffily regular c"
49,50,9056,35.11," bold deposits? final, bold pinto beans are furiously slyly regular packages. sly"
49,300,6646,908.15,"ts sleep across the fluffily final deposits. carefully express accounts around the regular, express excuses x-ray inside the ironic theodolites. expre"
49,550,5336,713.25,ld accounts. furiously blithe waters use furiously blithely idle dependencies. pending deposits along the permanently re
49,800,597,812.62,n foxes snooze furiously. courts integrate never. carefully unusual requests are carefully. quickly ironic deposits ha
50,51,1832,565.54,"liers above the dolphins dazzle across the regular foxes. furiously regular packages haggle furiously blithely ironic grouches. ironic, even accounts haggle pending, furious instruction"
50,301,43,690.87,"aggle daringly along the close, express deposits. final requests snooze carefully carefully bold deposits. carefully unusual ideas doze furiously after the furious"
