l_orderkey,l_partkey,l_suppkey,l_linenumber,l_quantity,l_extendedprice,l_discount,l_tax,l_returnflag,l_linestatus,l_shipdate,l_commitdate,l_receiptdate,l_shipinstruct,l_shipmode,l_comment
1635,7607,379,4,40,60584.00,0.01,0.04,N,O,1997-02-25,1997-03-20,1997-03-12,TAKE BACK RETURN         ,RAIL      ,uriously up the ironic deposits. slyly i
1636,8409,184,1,2,2634.80,0.09,0.03,N,O,1997-09-26,1997-08-22,1997-10-05,NONE                     ,TRUCK     ,nal foxes cajole above the blithely reg
1636,16893,894,2,45,81445.05,0.03,0.01,N,O,1997-07-14,1997-08-08,1997-07-27,COLLECT COD              ,RAIL      ,ely express reque
1636,10787,48,3,24,40746.72,0.07,0.08,N,O,1997-10-07,1997-08-12,1997-11-04,TAKE BACK RETURN         ,MAIL      ,e carefully unusual ideas are f
1636,15237,503,4,43,49545.89,0.06,0.00,N,O,1997-08-23,1997-08-10,1997-09-17,NONE                     ,REG AIR   ,blithely special r
1636,1838,341,5,22,38276.26,0.05,0.02,N,O,1997-07-22,1997-08-18,1997-08-03,COLLECT COD              ,AIR       ,"ular, regu"
1636,6291,548,6,34,40707.86,0.10,0.01,N,O,1997-08-11,1997-09-09,1997-08-23,NONE                     ,TRUCK     ,ular depos
1636,11302,825,7,7,8493.10,0.04,0.00,N,O,1997-07-28,1997-09-10,1997-07-31,NONE                     ,MAIL      ,ronic instructions. final
1637,8576,577,1,49,72743.93,0.02,0.03,N,F,1995-06-08,1995-04-19,1995-07-01,COLLECT COD              ,REG AIR   ,. blithely i
1637,7227,742,2,1,1134.22,0.10,0.02,A,F,1995-02-14,1995-03-26,1995-03-09,TAKE BACK RETURN         ,AIR       ,ly final pinto beans. furiously
1637,2166,671,3,10,10681.60,0.02,0.05,R,F,1995-02-21,1995-03-17,1995-03-11,NONE                     ,AIR       ,uriously? blithely even sauternes wake. 
1637,9263,523,4,42,49234.92,0.06,0.01,A,F,1995-03-18,1995-04-24,1995-03-31,COLLECT COD              ,SHIP      ,blithely a
1637,401,652,5,25,32535.00,0.05,0.00,R,F,1995-06-07,1995-03-26,1995-06-08,COLLECT COD              ,RAIL      , haggle carefully silent accou
1637,10878,399,6,38,67977.06,0.02,0.08,R,F,1995-03-20,1995-05-05,1995-04-14,DELIVER IN PERSON        ,SHIP      ,"even, pending foxes nod regular"
1637,5171,427,7,21,22599.57,0.07,0.08,A,F,1995-04-30,1995-04-30,1995-05-05,COLLECT COD              ,SHIP      ,ly ironic theodolites use b
1638,584,585,1,46,68290.68,0.03,0.02,N,O,1997-10-16,1997-10-28,1997-11-09,COLLECT COD              ,MAIL      ,otes haggle before the slyly bold instructi
1638,14898,899,2,30,54386.70,0.00,0.04,N,O,1997-12-05,1997-09-17,1997-12-06,NONE                     ,REG AIR   ,s cajole boldly bold requests. closely 
1638,3016,270,3,5,4595.05,0.08,0.07,N,O,1997-10-15,1997-11-01,1997-11-08,DELIVER IN PERSON        ,FOB       ,xcuses sleep furiou
1638,5598,364,4,19,28568.21,0.00,0.08,N,O,1997-10-15,1997-10-27,1997-11-03,DELIVER IN PERSON        ,MAIL      , quickly expres
1638,14287,816,5,25,30032.00,0.05,0.03,N,O,1997-10-06,1997-09-30,1997-11-02,DELIVER IN PERSON        ,REG AIR   ,"gle final, ironic pinto beans. "
1638,15444,975,6,46,62534.24,0.07,0.08,N,O,1997-08-20,1997-10-10,1997-09-09,COLLECT COD              ,AIR       ,ckages are carefully even instru
1639,18648,649,1,24,37599.36,0.07,0.00,N,O,1995-08-24,1995-10-06,1995-08-31,COLLECT COD              ,REG AIR   , the regular packages. courts dou
1639,4295,804,2,38,45573.02,0.01,0.04,N,O,1995-08-23,1995-11-09,1995-08-29,TAKE BACK RETURN         ,FOB       ,y regular packages. b
1639,17038,573,3,41,39156.23,0.04,0.02,N,O,1995-12-19,1995-11-11,1996-01-12,DELIVER IN PERSON        ,FOB       ,structions w
1664,11731,254,1,48,78851.04,0.04,0.02,N,O,1996-06-21,1996-05-01,1996-07-19,TAKE BACK RETURN         ,RAIL      , use. ironic deposits integrate. slyly unu
1664,17216,751,2,30,33996.30,0.06,0.05,N,O,1996-04-04,1996-05-04,1996-05-03,COLLECT COD              ,FOB       ,ess multip
1664,15090,91,3,10,10050.90,0.00,0.06,N,O,1996-04-10,1996-05-13,1996-05-07,TAKE BACK RETURN         ,RAIL      ,instructions up the acc
1664,15428,694,4,35,47019.70,0.00,0.04,N,O,1996-03-06,1996-05-16,1996-03-09,DELIVER IN PERSON        ,REG AIR   ,y regular ide
1664,5675,676,5,9,14226.03,0.07,0.04,N,O,1996-04-15,1996-05-14,1996-05-11,DELIVER IN PERSON        ,TRUCK     ,ges. fluffil
1664,14012,277,6,40,37040.40,0.09,0.07,N,O,1996-04-02,1996-04-22,1996-04-17,COLLECT COD              ,REG AIR   ,se blithely unusual pains. carefully
1665,4641,404,1,4,6182.56,0.02,0.03,A,F,1994-09-01,1994-06-07,1994-09-12,DELIVER IN PERSON        ,TRUCK     ,ely final requests. requests
1665,7710,482,2,1,1617.71,0.03,0.05,R,F,1994-05-22,1994-07-06,1994-05-24,TAKE BACK RETURN         ,TRUCK     ,sly final p
1666,18435,240,1,30,40602.90,0.04,0.03,N,O,1995-10-28,1995-11-30,1995-11-18,TAKE BACK RETURN         ,AIR       , breach evenly final accounts. r
1666,6400,913,2,20,26128.00,0.01,0.00,N,O,1996-01-27,1995-12-12,1996-01-31,NONE                     ,REG AIR   ,uietly regular foxes wake quick
1666,13348,138,3,31,39101.54,0.05,0.07,N,O,1996-02-11,1996-01-11,1996-02-28,COLLECT COD              ,RAIL      ,"ding to the express, bold accounts. fu"
1666,16881,148,4,41,73713.08,0.06,0.08,N,O,1995-11-29,1996-01-04,1995-12-24,NONE                     ,TRUCK     ,ly regular excuses; regular ac
1667,2027,784,1,6,5574.12,0.04,0.02,N,O,1997-12-07,1997-11-16,1998-01-02,COLLECT COD              ,FOB       ,riously busy requests. blithely final a
1667,2117,622,2,29,29554.19,0.06,0.07,N,O,1997-10-15,1997-11-09,1997-11-11,TAKE BACK RETURN         ,MAIL      ,l accounts. furiously final courts h
1667,9495,14,3,48,67415.52,0.05,0.01,N,O,1998-01-27,1998-01-06,1998-02-09,TAKE BACK RETURN         ,SHIP      ,tes sleep furiously. carefully eve
1667,5812,578,4,24,41227.44,0.04,0.01,N,O,1997-10-14,1997-12-01,1997-11-09,TAKE BACK RETURN         ,MAIL      ,hrash final requests. care
1667,19432,240,5,2,2702.86,0.07,0.00,N,O,1997-12-17,1997-11-22,1998-01-16,NONE                     ,SHIP      ,pecial requests hag
1667,4774,537,6,6,10072.62,0.01,0.03,N,O,1998-01-21,1997-12-19,1998-01-28,NONE                     ,TRUCK     , nag quickly above th
1667,3996,250,7,19,36099.81,0.09,0.03,N,O,1998-01-23,1997-11-24,1998-01-26,DELIVER IN PERSON        ,SHIP      ,"around the pinto beans. express, special"
1668,13164,428,1,8,8617.28,0.06,0.01,N,O,1997-07-23,1997-10-09,1997-08-06,DELIVER IN PERSON        ,FOB       ,arefully regular tithes! slyl
1668,95,846,2,25,24877.25,0.01,0.06,N,O,1997-08-08,1997-09-28,1997-09-01,NONE                     ,TRUCK     ,"y ironic requests. bold, final ideas a"
1668,7416,674,3,42,55583.22,0.08,0.01,N,O,1997-08-09,1997-09-08,1997-08-31,NONE                     ,FOB       ,ole carefully excuses. final
1668,19078,886,4,9,8973.63,0.05,0.03,N,O,1997-10-17,1997-09-05,1997-11-01,COLLECT COD              ,RAIL      ,wake furiously even instructions. sil
1668,12793,794,5,25,42644.75,0.01,0.02,N,O,1997-10-08,1997-09-20,1997-10-11,DELIVER IN PERSON        ,REG AIR   ,even platelets across the silent 
1668,992,243,6,38,71933.62,0.07,0.01,N,O,1997-08-26,1997-09-17,1997-09-05,DELIVER IN PERSON        ,TRUCK     ,ep slyly across the furi
1669,7838,839,1,24,41899.92,0.04,0.08,N,O,1997-09-04,1997-07-30,1997-09-20,DELIVER IN PERSON        ,RAIL      ," regular, final deposits use quick"
1670,3142,649,1,41,42850.74,0.07,0.01,N,O,1997-07-19,1997-08-20,1997-07-23,DELIVER IN PERSON        ,TRUCK     ,thely according to the sly
1670,12138,139,2,10,10501.30,0.07,0.03,N,O,1997-09-14,1997-08-16,1997-09-23,NONE                     ,SHIP      ,fily special ideas 
1670,18529,66,3,41,59348.32,0.07,0.07,N,O,1997-07-19,1997-08-05,1997-07-26,COLLECT COD              ,SHIP      ,al gifts. speci
1671,14889,418,1,21,37881.48,0.02,0.07,N,O,1996-07-28,1996-09-28,1996-08-08,TAKE BACK RETURN         ,AIR       ,s accounts slee
1671,9512,290,2,4,5686.04,0.05,0.00,N,O,1996-08-30,1996-09-19,1996-09-23,DELIVER IN PERSON        ,TRUCK     ,lyly regular ac
1671,12360,885,3,11,13995.96,0.06,0.08,N,O,1996-09-16,1996-10-21,1996-09-18,NONE                     ,SHIP      ,tes sleep blithely
1671,17731,266,4,5,8243.65,0.00,0.00,N,O,1996-11-14,1996-10-20,1996-11-25,TAKE BACK RETURN         ,FOB       ,luffily regular deposits
1671,12659,660,5,12,18859.80,0.07,0.04,N,O,1996-11-17,1996-09-02,1996-12-17,COLLECT COD              ,RAIL      ,"special, ironic"
1671,19622,892,6,46,70914.52,0.08,0.05,N,O,1996-09-13,1996-10-14,1996-09-28,TAKE BACK RETURN         ,REG AIR   ,. slyly bold instructions boost. furiousl
1696,1542,45,1,8,11548.32,0.04,0.02,N,O,1998-04-28,1998-02-07,1998-05-10,NONE                     ,TRUCK     ,the blithely
1696,13832,96,2,13,22695.79,0.08,0.06,N,O,1998-03-01,1998-03-25,1998-03-24,TAKE BACK RETURN         ,TRUCK     ,tructions play slyly q
1696,111,362,3,19,19211.09,0.08,0.05,N,O,1998-05-03,1998-03-13,1998-05-28,TAKE BACK RETURN         ,REG AIR   ,its maintain alongside of the f
1696,19272,273,4,21,25016.67,0.05,0.00,N,O,1998-05-04,1998-02-18,1998-05-07,NONE                     ,MAIL      ,"y players sleep along the final, pending "
1696,9379,898,5,43,55399.91,0.03,0.06,N,O,1998-02-14,1998-03-29,1998-02-20,COLLECT COD              ,FOB       ,arefully regular dep
1697,7446,704,1,6,8120.64,0.05,0.00,N,O,1997-01-28,1996-11-27,1997-01-31,NONE                     ,FOB       ,accounts breach slyly even de
1697,10342,603,2,24,30056.16,0.00,0.08,N,O,1996-12-29,1996-12-19,1997-01-10,NONE                     ,SHIP      ,ts cajole carefully above the carefully
1697,12370,633,3,27,34623.99,0.06,0.00,N,O,1997-01-20,1996-12-02,1997-02-05,COLLECT COD              ,MAIL      ,"ly regular packages across the silent, b"
1697,9309,310,4,49,59696.70,0.08,0.04,N,O,1996-12-07,1997-01-02,1996-12-31,COLLECT COD              ,TRUCK     ,lar foxes. fluffily furious ideas doubt qu
1697,3481,735,5,19,26305.12,0.03,0.07,N,O,1997-01-08,1996-11-12,1997-01-11,DELIVER IN PERSON        ,FOB       ,"ons? special, special accounts after"
1698,9654,655,1,44,68800.60,0.05,0.05,N,O,1997-05-16,1997-07-05,1997-05-27,NONE                     ,RAIL      ,ts wake slyly after t
1698,9211,471,2,6,6721.26,0.08,0.00,N,O,1997-08-21,1997-06-08,1997-09-03,DELIVER IN PERSON        ,RAIL      , pending packages affix ne
1698,2055,308,3,22,21055.10,0.03,0.04,N,O,1997-08-07,1997-05-28,1997-08-24,DELIVER IN PERSON        ,TRUCK     ,oward the furiously iro
1698,11191,453,4,19,20941.61,0.00,0.07,N,O,1997-07-04,1997-06-21,1997-08-01,NONE                     ,RAIL      , fluffily e
1698,5242,243,5,37,42447.88,0.00,0.03,N,O,1997-05-16,1997-05-29,1997-05-27,NONE                     ,AIR       ,ly regular ideas. deposit
1698,16583,584,6,15,22493.70,0.10,0.01,N,O,1997-07-20,1997-06-07,1997-07-21,TAKE BACK RETURN         ,RAIL      ,"final ideas. even, ironic "
1699,3735,242,1,50,81936.50,0.00,0.06,A,F,1994-03-26,1994-03-23,1994-04-20,NONE                     ,FOB       ,to the final requests are carefully silent 
1699,13483,484,2,17,23740.16,0.07,0.02,R,F,1994-01-12,1994-03-12,1994-02-08,NONE                     ,AIR       ,haggle blithely slyly
1700,13971,498,1,38,71628.86,0.04,0.04,N,O,1996-10-03,1996-07-27,1996-10-22,NONE                     ,RAIL      ,ular dependencies engage slyly 
1700,15595,596,2,49,74018.91,0.04,0.00,N,O,1996-09-26,1996-07-28,1996-10-16,NONE                     ,TRUCK     ,kly even dependencies haggle fluffi
1701,14942,735,1,47,87276.18,0.08,0.05,R,F,1992-05-25,1992-06-29,1992-06-15,NONE                     ,RAIL      ,slyly final requests cajole requests. f
1701,5301,302,2,2,2412.60,0.01,0.04,R,F,1992-06-24,1992-07-12,1992-06-29,COLLECT COD              ,SHIP      ,"ween the pending, final accounts. "
1701,3469,723,3,26,35683.96,0.10,0.06,R,F,1992-06-04,1992-07-11,1992-07-04,DELIVER IN PERSON        ,FOB       , accounts. blithely pending pinto be
1702,6698,467,1,19,30489.11,0.02,0.01,N,F,1995-06-02,1995-06-30,1995-06-29,NONE                     ,REG AIR   ,ies haggle blith
1702,2977,230,2,38,71438.86,0.00,0.00,N,O,1995-09-01,1995-06-10,1995-09-10,DELIVER IN PERSON        ,REG AIR   ,as believe blithely. bo
1702,19443,444,3,46,62672.24,0.00,0.08,N,O,1995-07-14,1995-06-30,1995-07-20,NONE                     ,FOB       ,y even foxes. carefully final dependencies 
1702,9204,205,4,28,31169.60,0.07,0.05,R,F,1995-06-10,1995-07-26,1995-06-16,TAKE BACK RETURN         ,AIR       ,nts haggle along the packa
1702,8804,805,5,34,58235.20,0.01,0.06,N,O,1995-07-04,1995-06-08,1995-07-28,DELIVER IN PERSON        ,AIR       ,y careful packages; dogged acco
1702,4151,406,6,28,29544.20,0.10,0.00,N,O,1995-08-14,1995-07-31,1995-09-08,COLLECT COD              ,RAIL      ,ackages sleep. furiously even excuses snooz
1703,16541,808,1,36,52471.44,0.09,0.01,R,F,1993-04-22,1993-03-05,1993-04-24,DELIVER IN PERSON        ,SHIP      ,riously express 
1703,13612,139,2,35,53396.35,0.01,0.08,R,F,1993-04-14,1993-03-31,1993-04-27,NONE                     ,RAIL      ,he carefully
1703,12346,347,3,48,60400.32,0.06,0.02,R,F,1993-02-07,1993-04-20,1993-02-24,TAKE BACK RETURN         ,AIR       ,ggle slyly furiously regular theodol
1728,12521,46,1,1,1433.52,0.07,0.04,N,O,1996-09-16,1996-08-19,1996-09-18,COLLECT COD              ,FOB       ,lly. carefully ex
1728,10439,700,2,23,31036.89,0.05,0.02,N,O,1996-09-08,1996-07-24,1996-09-20,NONE                     ,FOB       ,"ns. pending, final ac"
1728,16407,206,3,44,58229.60,0.08,0.07,N,O,1996-07-31,1996-06-22,1996-08-06,COLLECT COD              ,FOB       ,ide of the slyly blithe
1728,2635,636,4,34,52279.42,0.08,0.05,N,O,1996-08-28,1996-07-20,1996-09-12,DELIVER IN PERSON        ,MAIL      ,special req
1728,19809,348,5,31,53592.80,0.09,0.02,N,O,1996-07-26,1996-06-28,1996-08-14,NONE                     ,REG AIR   ,kly sly theodolites.
1729,15695,696,1,12,19328.28,0.08,0.04,A,F,1992-08-11,1992-07-24,1992-08-16,COLLECT COD              ,RAIL      ,y pending packages detect. carefully re
1730,16543,810,1,41,59841.14,0.01,0.03,N,O,1998-08-11,1998-08-29,1998-09-02,TAKE BACK RETURN         ,TRUCK     ," instructions. unusual, even Tiresi"
1730,16132,133,2,15,15721.95,0.07,0.04,N,O,1998-09-07,1998-09-12,1998-09-30,TAKE BACK RETURN         ,AIR       ,pinto beans cajole. bravely bold
1730,16103,370,3,9,9171.90,0.10,0.00,N,O,1998-09-18,1998-09-15,1998-09-21,DELIVER IN PERSON        ,FOB       ,gular dependencies wake. blithely final e
1730,946,697,4,40,73877.60,0.02,0.03,N,O,1998-10-02,1998-10-06,1998-10-03,NONE                     ,SHIP      ,ven dinos slee
1730,14030,559,5,43,40593.29,0.04,0.06,N,O,1998-10-26,1998-10-22,1998-11-02,DELIVER IN PERSON        ,TRUCK     ,ng deposits cajo
1731,18394,395,1,36,47246.04,0.10,0.00,N,O,1996-04-18,1996-04-03,1996-04-29,TAKE BACK RETURN         ,MAIL      ,ngside of the even instruct
1731,13827,354,2,7,12185.74,0.04,0.07,N,O,1996-04-11,1996-02-13,1996-04-30,DELIVER IN PERSON        ,REG AIR   ,fily quick asymptotes
1731,5092,348,3,50,49854.50,0.05,0.04,N,O,1996-01-14,1996-03-13,1996-01-29,COLLECT COD              ,RAIL      ,ly slyly speci
1731,19588,396,4,23,34674.34,0.10,0.04,N,O,1996-04-22,1996-02-25,1996-05-16,TAKE BACK RETURN         ,RAIL      ,"rays? bold, express pac"
1731,5236,237,5,37,42225.51,0.10,0.05,N,O,1996-04-30,1996-03-17,1996-05-27,TAKE BACK RETURN         ,RAIL      , beans use furiously slyly b
1731,12342,129,6,41,51427.94,0.03,0.08,N,O,1996-04-05,1996-02-28,1996-05-01,TAKE BACK RETURN         ,RAIL      ,haggle across the blithely ironi
1732,440,441,1,50,67022.00,0.02,0.01,R,F,1993-12-05,1994-01-23,1993-12-20,TAKE BACK RETURN         ,FOB       ,fily final asymptotes according 
1732,9819,820,2,36,62237.16,0.01,0.03,A,F,1994-03-15,1994-02-09,1994-04-02,DELIVER IN PERSON        ,TRUCK     ,ve the accounts. slowly ironic multip
1732,16090,623,3,41,41249.69,0.00,0.04,R,F,1994-02-20,1994-01-07,1994-02-27,TAKE BACK RETURN         ,AIR       ,quests sublate against the silent 
1732,15126,127,4,9,9370.08,0.04,0.04,A,F,1994-02-25,1994-01-29,1994-03-16,TAKE BACK RETURN         ,FOB       ,ular platelets. deposits wak
1732,16890,157,5,25,45172.25,0.02,0.05,A,F,1994-02-15,1994-01-07,1994-02-21,COLLECT COD              ,REG AIR   ,"nag slyly. even, special de"
1732,7293,65,6,16,19204.64,0.01,0.05,R,F,1994-01-07,1994-01-02,1994-01-25,COLLECT COD              ,SHIP      ,ix carefully at the furiously regular pac
1733,11045,307,1,41,39197.64,0.08,0.01,N,O,1996-06-13,1996-07-08,1996-07-07,TAKE BACK RETURN         ,AIR       ,ess notornis. fur
1733,2394,151,2,16,20742.24,0.00,0.04,N,O,1996-08-28,1996-07-25,1996-09-27,COLLECT COD              ,MAIL      ,slyly express deposits sleep abo
1733,11968,752,3,29,54518.84,0.10,0.06,N,O,1996-07-16,1996-08-08,1996-07-28,NONE                     ,TRUCK     ,ns detect among the special accounts. qu
1733,13552,79,4,38,55690.90,0.01,0.03,N,O,1996-08-26,1996-07-23,1996-08-28,NONE                     ,FOB       , deposits 
1733,3359,866,5,22,27771.70,0.06,0.07,N,O,1996-07-16,1996-07-24,1996-07-30,COLLECT COD              ,AIR       ,gainst the final deposits. carefully final 
1733,6543,544,6,9,13045.86,0.06,0.08,N,O,1996-05-25,1996-07-23,1996-06-10,COLLECT COD              ,TRUCK     ,ven foxes was according to t
1733,14589,118,7,13,19546.54,0.02,0.03,N,O,1996-08-03,1996-08-02,1996-08-18,NONE                     ,MAIL      ,olites sleep furious
1734,15489,755,1,38,53370.24,0.03,0.03,R,F,1994-08-09,1994-09-07,1994-08-12,COLLECT COD              ,FOB       ,ts doubt b
1734,11773,35,2,4,6739.08,0.06,0.03,A,F,1994-08-20,1994-07-17,1994-08-25,DELIVER IN PERSON        ,AIR       ,final warhorses.
1735,15546,547,1,43,62846.22,0.02,0.06,A,F,1993-01-14,1993-03-25,1993-02-02,DELIVER IN PERSON        ,FOB       ,iously after the 
1735,13852,116,2,49,86526.65,0.03,0.04,A,F,1992-12-31,1993-02-03,1993-01-25,TAKE BACK RETURN         ,TRUCK     ,y express accounts above the exp
1760,9542,61,1,38,55158.52,0.09,0.03,N,O,1996-06-15,1996-06-29,1996-07-11,NONE                     ,MAIL      ,tions. blithely regular orbits against the 
1760,726,727,2,3,4880.16,0.00,0.06,N,O,1996-07-18,1996-07-01,1996-08-01,NONE                     ,RAIL      ,lyly bold dolphins haggle carefully. sl
1760,13682,209,3,44,70209.92,0.05,0.01,N,O,1996-06-11,1996-06-16,1996-07-02,COLLECT COD              ,REG AIR   ,instructions poach slyly ironic theodolites
1761,5105,871,1,33,33333.30,0.09,0.03,R,F,1994-01-03,1994-01-23,1994-01-31,NONE                     ,FOB       ,s. excuses a
1761,5114,115,2,37,37707.07,0.02,0.07,R,F,1994-02-17,1994-03-08,1994-03-16,NONE                     ,RAIL      , integrate. quickly unusual
